Actif;N°;CHEVAL/MUSIQ.;AGE;DRIVER/ENTRAINEUR;INFO+;Poids;Valeur;Gain/Course;Moy/Alloc;Repos;Popularité;Evo Popul;HISTO;EX-FAV ?;IMDC;COTE;CoteBZH;PC;RANK;classement;Syn. JCh;RATING ELO;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;PREDICTION IA;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;TP;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41
;;;;;;;;;;;;;;;;;;;;;;CHEVAL;JOCKEY;COACH;PROPRIO;ÉLEVEUR;Sigma;Gagnant;Couplé;Trio;Multi;Quinté;Note IA;Rang J.;TPJ 365;TPJ 90;Moy. 1an;Moy. 3m;TPch 90;Moy. 1an;Moy. 3m
1.0;1.0;DADDY JOY;5.0;T.BACHELOT;;60.0;29.0;1573.2307692307693;18533.0;19.0;125.0;126.0;13-1-4-0;N-N-N-N-N (Turf Points: 261);3.125;48;19.0;6.8;;OUTSIDERS;0.0;1483;1507;1444;1361;1460;47.57392621203349;0.1180913886449932;0.1867999742781433;0.2869750054423124;0.3512695420749853;0.3512695420749853;13.0;15;93761;26313;101.0355603448276;118.52702702702705;36;43.5;18
1.0;3.0;MYSTIC;7.0;A.BARON;;58.5;27.5;2368.6666666666665;23967.0;25.0;243.0;205.0;21-2-8-0;FP-N-N-FP-N (Turf Points: 1167);-0.75;2.9;5.5;4.0;;FAVORIS;67.5;1561;1505;1444;1450;1506;59.78563578656988;0.190675885353162;0.2824822509024647;0.3999545885069193;0.5403353378221782;0.5403353378221782;16.5;78;25489;7713;76.54354354354355;77.9090909090909;348;194.5;174
1.0;4.0;IRTYCH;5.0;S.PASQUIER;;57.0;26.0;2411.40625;14833.0;25.0;314.0;296.0;32-3-6-0;FP-N-N-N-N (Turf Points: 817);2.125;3.6;3.5;6.1;;FAVORIS;87.5;1560;1520;1466;1458;1377;66.66829508143852;0.2633138991351223;0.4070990742123801;0.5173316846641027;0.6246973875276445;0.6246973875276445;17.0;12;117277;19204;162.43351800554018;133.36111111111111;525;62.84615384615385;262.5
1.0;5.0;LOFSONGUR ISLANDE;6.0;M.VELON;;56.5;25.5;1616.7096774193549;20800.0;25.0;744.0;759.0;31-3-3-0;FN-N-N-N-N (Turf Points: 304);2.125;17;11.0;6.1;;OUTSIDERS;62.5;1531;1501;1519;1361;1498;68.19672980009224;0.1217810990318925;0.199663338668409;0.2872000195759072;0.3815648343430968;0.3815648343430968;13.5;17;78220;16952;85.29989094874591;79.21495327102804;166;27.63636363636364;33.2
1.0;6.0;AL ALAALI;6.0;C.DEMURO;;56.0;25.0;1764.8444444444444;19833.0;18.0;435.0;433.0;45-2-13-0;FN-FN-FP-N-N (Turf Points: 906);4.375;11;9.1;2.8;;POSSIBLE;0.0;1534;1534;1476;1529;1459;77.09618338516103;0.1808181335677446;0.2796652044938939;0.3895478351063174;0.5349844202004672;0.5349844202004672;14.2;4;327956;30621;229.17959468902865;312.4591836734694;672;64.71428571428571;134.4
1.0;7.0;CAPTAIN EAGLE;8.0;P.REMOUE;;56.0;25.0;1363.875;16633.0;18.0;158.0;139.0;32-3-8-1;N-N-N-N-N (Turf Points: 128);4.375;10;32.0;12.0;;POSSIBLE;57.2;1470;1495;1445;1410;1484;65.58607774520404;0.044813547113081;0.086949864529679;0.1364444538782025;0.2162142465203995;0.2162142465203995;12.0;92;21131;5934;60.2022792022792;50.28813559322034;68;16;17
1.0;8.0;ERIDITA DOVER;5.0;T.PICCONE;;55.5;24.5;1972.7727272727273;19200.0;18.0;98.0;97.0;22-4-1-0;N-N-N-N-N (Turf Points: 601);4.375;76;44.0;72.0;;OUTSIDERS;44.1;1490;1504;1495;1420;1420;56.22640199199561;0.0430913250118075;0.0820266237256467;0.1255147503936286;0.1864675725325266;0.1864675725325266;13.2;14;94095;19436;94.5678391959799;85.24561403508773;48;54.63636363636363;12
1.0;9.0;"CATHERINE&#039;S GIFT";4.0;C.LECOEUVRE;;55.5;26.0;815.2222222222222;15867.0;13.0;30.0;26.0;9-0-1-0;N-N-N-x-x (Turf Points: 44);0.0;19;33.0;18.0;;OUTSIDERS;0.0;1448;1503;1522;1499;1365;34.75132868361793;0.0739525011753992;0.1243715639621071;0.2260893974023911;0.3038578229985499;0.3038578229985499;10.5;9;126842;25656;132.958071278826;124.54368932038837;44;14.666666666666666;14.666666666666666
1.0;10.0;FIRST ONE;5.0;Y.ROUSSET;;55.5;24.5;841;19133.0;30.0;71.0;8.0;6-0-1-0;N-x-x-x-x (Turf Points: 225);0.0;28;11.0;74.0;;OUTSIDERS;80.0;1423;1506;1468;1435;1435;35.27131774522247;0.1657969469128499;0.256125831565184;0.3644598387975847;0.4520330338350709;0.4520330338350709;13.8;183;8371;3068;57.73103448275862;68.17777777777778;225;225;225
1.0;11.0;ARMORIGENE;9.0;P.BAZIRE;;55.0;24.0;1246.4251968503936;17300.0;8.0;586.0;581.0;127-8-28-1;N-N-N-N-N (Turf Points: 3081);4.375;16;30.0;10.0;;OUTSIDERS;69.9;1514;1496;1467;1474;1520;80.9888016715126;0.0450671426886156;0.0887168655532064;0.1665482651499457;0.2813606704557762;0.2813606704557762;15.2;83;24338;9120;83.92413793103448;108.57142857142856;851;123.24;121.57142857142856
1.0;12.0;STYLE DE WAY;6.0;A.MADAMET;;54.0;23.0;396.60869565217394;33767.0;18.0;98.0;83.0;23-2-10-0;N-N-N-N-N (Turf Points: 108);4.375;28;20.0;13.0;;OUTSIDERS;0.0;1412;1520;1469;1412;1480;21.48207222642826;0.0989823299492604;0.1839363222142097;0.2463887027037697;0.3134026306515225;0.3134026306515225;12.5;10;118970;17950;102.9152249134948;81.5909090909091;108;108;108
1.0;13.0;REACH THE STARS;4.0;D.SANTIAGO;;52.0;22.5;456.375;17600.0;14.0;33.0;32.0;8-0-1-0;N-N-N-N-N (Turf Points: 124);-6.75;14;50.0;17.0;;POSSIBLE;0.0;1414;1472;1474;1474;1457;39.16191483943638;0.0370437673956128;0.06973855147555;0.1251173191333753;0.1501027323703971;0.1501027323703971;10.2;34;48702;15958;79.44861337683524;84.88297872340425;122;15.5;24.4
0.0;2.0;BRIONA;5.0;F.VALLE SKAR;;58.5;27.5;-;;0.0;0.0;0.0;0-0-0-0;- (Turf Points: 0);;-;;;NP;;;0;0;0;0;0;0;0;0;0;0;0;15.5;;0;0;0;0;0;0;0
